z d
29.5504 0.974026
29.5804 0.974026
29.6104 0.974026
29.6404 0.974026
29.6703 0.974026
29.7003 0.974026
29.7303 0.974026
29.7602 0.974026
29.7902 0.974026
29.8202 0.974026
29.8501 0.974026
29.8801 0.974026
29.9101 0.974026
29.9401 0.974026
29.97 0.974026
